loc,function_count,avg_function_length,max_function_length,cyclomatic_complexity,max_nesting_depth,total_issue_count,security_issue_count,duplication_ratio,dependency_risk_score,has_tests,structural_risk,security_risk,maintainability_risk,test_risk,overall_risk
87,6,0.0,0,1,0,0,0,0.27827180454504624,0.0,1,0.03,0.0,0.187,0.0,0.0479
19,1,0.0,0,1,0,0,0,0.27827180454504624,0.0,1,0.03,0.0,0.187,0.0,0.0479
57,3,0.0,0,1,0,0,0,0.27827180454504624,0.0,1,0.03,0.0,0.187,0.0,0.0479
55,7,0.0,0,1,0,1,0,0.27827180454504624,0.0,1,0.07,0.0,0.187,0.0,0.0619
221,12,0.0,0,9,0,1,0,0.27827180454504624,0.0,1,0.31,0.0,0.347,0.0,0.1779
66,2,0.0,0,1,0,0,0,0.27827180454504624,0.0,1,0.03,0.0,0.187,0.0,0.0479
202,1,0.0,0,1,0,0,0,0.27827180454504624,0.0,1,0.03,0.0,0.187,0.0,0.0479
341,19,0.0,0,1,0,2,0,0.27827180454504624,0.0,1,0.11,0.0,0.187,0.0,0.0759
8,1,0.0,0,1,0,0,0,0.27827180454504624,0.0,1,0.03,0.0,0.187,0.0,0.0479
65,2,0.0,0,1,0,0,0,0.27827180454504624,0.0,1,0.03,0.0,0.187,0.0,0.0479
79,1,0.0,0,1,0,0,0,0.27827180454504624,0.0,1,0.03,0.0,0.187,0.0,0.0479
330,3,0.0,0,1,0,0,0,0.27827180454504624,0.0,1,0.03,0.0,0.187,0.0,0.0479
283,16,0.0,0,5,0,4,0,0.27827180454504624,0.0,1,0.31,0.0,0.267,0.0,0.1619
17,1,0.0,0,1,0,0,0,0.27827180454504624,0.0,1,0.03,0.0,0.187,0.0,0.0479
572,34,0.0,0,17,0,5,0,0.27827180454504624,0.0,1,0.71,0.0,0.507,0.0,0.3499
79,1,0.0,0,1,0,0,0,0.27827180454504624,0.0,1,0.03,0.0,0.187,0.0,0.0479
13,2,0.0,0,2,0,0,0,0.27827180454504624,0.0,1,0.06,0.0,0.207,0.0,0.0624
167,7,0.0,0,6,0,0,0,0.27827180454504624,0.0,1,0.18,0.0,0.287,0.0,0.1204
210,17,0.0,0,6,0,6,0,0.27827180454504624,0.0,1,0.42,0.0,0.287,0.0,0.2044
195,13,0.0,0,5,0,5,0,0.27827180454504624,0.0,1,0.35,0.0,0.267,0.0,0.1759
5,0,0.0,0,1,0,0,0,0.27827180454504624,0.0,1,0.03,0.0,0.187,0.0,0.0479
29,0,0.0,0,1,0,0,0,0.27827180454504624,0.0,1,0.03,0.0,0.187,0.0,0.0479
7,0,0.0,0,1,0,0,0,0.27827180454504624,0.0,1,0.03,0.0,0.187,0.0,0.0479
57,1,0.0,0,5,0,0,0,0.27827180454504624,0.0,1,0.15,0.0,0.267,0.0,0.1059
34,1,0.0,0,1,0,0,0,0.27827180454504624,0.0,1,0.03,0.0,0.187,0.0,0.0479
10,0,0.0,0,1,0,0,0,0.27827180454504624,0.0,1,0.03,0.0,0.187,0.0,0.0479
62,2,0.0,0,1,0,0,0,0.27827180454504624,0.0,1,0.03,0.0,0.187,0.0,0.0479
76,4,0.0,0,1,0,0,0,0.27827180454504624,0.0,1,0.03,0.0,0.187,0.0,0.0479
65,5,0.0,0,1,0,0,0,0.27827180454504624,0.0,1,0.03,0.0,0.187,0.0,0.0479
154,6,0.0,0,2,0,0,0,0.27827180454504624,0.0,1,0.06,0.0,0.207,0.0,0.0624
124,3,0.0,0,1,0,0,0,0.27827180454504624,0.0,1,0.03,0.0,0.187,0.0,0.0479
239,6,0.0,0,1,0,0,0,0.27827180454504624,0.0,1,0.03,0.0,0.187,0.0,0.0479
87,11,0.0,0,1,0,1,0,0.27827180454504624,0.0,1,0.07,0.0,0.187,0.0,0.0619
100,10,0.0,0,2,0,1,0,0.27827180454504624,0.0,1,0.1,0.0,0.207,0.0,0.0764
82,3,0.0,0,1,0,0,0,0.27827180454504624,0.0,1,0.03,0.0,0.187,0.0,0.0479
121,3,0.0,0,1,0,0,0,0.27827180454504624,0.0,1,0.03,0.0,0.187,0.0,0.0479
641,47,0.0,0,7,0,4,0,0.27827180454504624,0.0,1,0.37,0.0,0.307,0.0,0.1909
